;Make;Model;Year;HP;Cilindros;Transmision;Tipo Traccion;Autopista MPG;Ciudad MPG;Precio
52;BMW;2 Series;2017;335.0;6.0;Automatico;AWD Tracción integral;32;21;51050
53;BMW;2 Series;2017;335.0;6.0;Automatico;Traccion Trasera;32;21;44450
54;BMW;2 Series;2017;248.0;4.0;Automatico;Traccion Trasera;34;23;38950
55;BMW;2 Series;2017;248.0;4.0;Automatico;Traccion Trasera;35;24;33150
56;BMW;2 Series;2017;248.0;4.0;Automatico;AWD Tracción integral;33;24;35150
57;BMW;2 Series;2017;248.0;4.0;Automatico;AWD Tracción integral;33;23;40950
64;Chrysler;200;2015;184.0;4.0;Automatico;Tracción Delantera;36;23;25170
65;Chrysler;200;2015;184.0;4.0;Automatico;Tracción Delantera;36;23;23950
66;Chrysler;200;2015;295.0;6.0;Automatico;AWD Tracción integral;29;18;29370
67;Chrysler;200;2015;184.0;4.0;Automatico;Tracción Delantera;36;23;21995
68;Chrysler;200;2015;184.0;4.0;Automatico;Tracción Delantera;36;23;26625
69;Chrysler;200;2015;295.0;6.0;Automatico;AWD Tracción integral;29;18;30825
70;Chrysler;200;2016;184.0;4.0;Automatico;Tracción Delantera;36;23;21995
71;Chrysler;200;2016;184.0;4.0;Automatico;Tracción Delantera;36;23;27795
72;Chrysler;200;2016;295.0;6.0;Automatico;AWD Tracción integral;29;18;31785
73;Chrysler;200;2016;295.0;6.0;Automatico;AWD Tracción integral;29;18;29905
74;Chrysler;200;2016;184.0;4.0;Automatico;Tracción Delantera;36;23;22490
75;Chrysler;200;2016;184.0;4.0;Automatico;Tracción Delantera;36;23;27570
76;Chrysler;200;2016;184.0;4.0;Automatico;Tracción Delantera;36;23;25690
77;Chrysler;200;2016;184.0;4.0;Automatico;Tracción Delantera;36;23;24490
78;Chrysler;200;2017;295.0;6.0;Automatico;AWD Tracción integral;28;18;29905
79;Chrysler;200;2017;295.0;6.0;Automatico;AWD Tracción integral;28;18;31785
80;Chrysler;200;2017;184.0;4.0;Automatico;Tracción Delantera;36;23;26685
81;Chrysler;200;2017;184.0;4.0;Automatico;Tracción Delantera;36;23;22490
82;Chrysler;200;2017;184.0;4.0;Automatico;Tracción Delantera;36;23;25690
83;Chrysler;200;2017;295.0;6.0;Automatico;AWD Tracción integral;28;18;30900
84;Chrysler;200;2017;184.0;4.0;Automatico;Tracción Delantera;36;23;27795
85;Chrysler;200;2017;184.0;4.0;Automatico;Tracción Delantera;36;23;21995
86;Chrysler;200;2017;184.0;4.0;Automatico;Tracción Delantera;36;23;24490
87;Nissan;200SX;1996;115.0;4.0;Manual;Tracción Delantera;36;26;2000
89;Nissan;200SX;1996;140.0;4.0;Manual;Tracción Delantera;29;21;2000
90;Nissan;200SX;1997;140.0;4.0;Manual;Tracción Delantera;29;21;2000
91;Nissan;200SX;1997;115.0;4.0;Manual;Tracción Delantera;35;25;2000
93;Nissan;200SX;1998;115.0;4.0;Manual;Tracción Delantera;35;25;2000
95;Nissan;200SX;1998;140.0;4.0;Manual;Tracción Delantera;28;20;2073
96;Nissan;240SX;1996;155.0;4.0;Manual;Traccion Trasera;26;19;3713
97;Nissan;240SX;1996;155.0;4.0;Manual;Traccion Trasera;26;19;3520
98;Nissan;240SX;1997;155.0;4.0;Manual;Traccion Trasera;26;19;3910
99;Nissan;240SX;1997;155.0;4.0;Manual;Traccion Trasera;26;19;4182
100;Nissan;240SX;1997;155.0;4.0;Manual;Traccion Trasera;26;19;4107
101;Nissan;240SX;1998;155.0;4.0;Manual;Traccion Trasera;25;20;4299
102;Nissan;240SX;1998;155.0;4.0;Manual;Traccion Trasera;25;20;4693
103;Nissan;240SX;1998;155.0;4.0;Manual;Traccion Trasera;25;20;4107
112;Mazda;2;2012;100.0;4.0;Manual;Tracción Delantera;35;29;16020
113;Mazda;2;2012;100.0;4.0;Manual;Tracción Delantera;35;29;14530
114;Mazda;2;2012;100.0;4.0;Automatico;Tracción Delantera;34;28;16860
115;Mazda;2;2012;100.0;4.0;Automatico;Tracción Delantera;34;28;15370
116;Mazda;2;2013;100.0;4.0;Automatico;Tracción Delantera;34;28;17050
117;Mazda;2;2013;100.0;4.0;Automatico;Tracción Delantera;34;28;15560
118;Mazda;2;2013;100.0;4.0;Manual;Tracción Delantera;35;29;16210
119;Mazda;2;2013;100.0;4.0;Manual;Tracción Delantera;35;29;14720
120;Mazda;2;2014;100.0;4.0;Automatico;Tracción Delantera;34;28;17050
121;Mazda;2;2014;100.0;4.0;Automatico;Tracción Delantera;34;28;15560
122;Mazda;2;2014;100.0;4.0;Manual;Tracción Delantera;35;29;16210
123;Mazda;2;2014;100.0;4.0;Manual;Tracción Delantera;35;29;14720
124;BMW;3 Series Gran Turismo;2015;300.0;6.0;Automatico;AWD Tracción integral;30;20;47250
125;BMW;3 Series Gran Turismo;2015;240.0;4.0;Automatico;AWD Tracción integral;33;22;41850
127;BMW;3 Series Gran Turismo;2016;240.0;4.0;Automatico;AWD Tracción integral;34;22;43000
128;BMW;3 Series Gran Turismo;2016;300.0;6.0;Automatico;AWD Tracción integral;30;20;49200
129;BMW;3 Series Gran Turismo;2017;320.0;6.0;Automatico;AWD Tracción integral;30;20;49650
130;BMW;3 Series Gran Turismo;2017;248.0;4.0;Automatico;AWD Tracción integral;33;23;43950
131;BMW;3 Series;2015;241.0;4.0;Automatico;AWD Tracción integral;33;22;41950
132;BMW;3 Series;2015;335.0;6.0;Automatico;Traccion Trasera;33;25;50150
133;BMW;3 Series;2015;240.0;4.0;Automatico;Traccion Trasera;35;23;37500
134;BMW;3 Series;2015;300.0;6.0;Automatico;Traccion Trasera;32;21;43750
136;BMW;3 Series;2015;240.0;4.0;Automatico;AWD Tracción integral;33;22;39500
138;BMW;3 Series;2015;180.0;4.0;Automatico;AWD Tracción integral;35;23;34950
139;BMW;3 Series;2015;300.0;6.0;Automatico;AWD Tracción integral;30;20;45750
143;BMW;3 Series;2015;180.0;4.0;Automatico;Traccion Trasera;36;24;32950
144;BMW;3 Series;2016;180.0;4.0;Automatico;AWD Tracción integral;40;30;41850
145;BMW;3 Series;2016;320.0;6.0;Automatico;AWD Tracción integral;33;22;47800
147;BMW;3 Series;2016;240.0;4.0;Automatico;Traccion Trasera;34;22;38350
148;BMW;3 Series;2016;240.0;4.0;Automatico;AWD Tracción integral;34;22;40350
149;BMW;3 Series;2016;240.0;4.0;Manual;Traccion Trasera;34;22;38350
150;BMW;3 Series;2016;240.0;4.0;Automatico;AWD Tracción integral;34;22;42650
151;BMW;3 Series;2016;180.0;4.0;Automatico;Traccion Trasera;36;24;33150
152;BMW;3 Series;2016;180.0;4.0;Automatico;AWD Tracción integral;35;23;35150
153;BMW;3 Series;2016;180.0;4.0;Automatico;AWD Tracción integral;40;30;44150
154;BMW;3 Series;2016;320.0;6.0;Automatico;Traccion Trasera;33;22;45800
155;BMW;3 Series;2017;248.0;4.0;Automatico;Traccion Trasera;34;23;38750
156;BMW;3 Series;2017;180.0;4.0;Automatico;AWD Tracción integral;34;23;35450
157;BMW;3 Series;2017;180.0;4.0;Automatico;Traccion Trasera;35;23;33450
158;BMW;3 Series;2017;248.0;4.0;Automatico;AWD Tracción integral;33;23;40750
159;BMW;3 Series;2017;180.0;4.0;Automatico;AWD Tracción integral;40;30;42250
160;BMW;3 Series;2017;248.0;4.0;Automatico;AWD Tracción integral;33;23;42950
162;BMW;3 Series;2017;320.0;6.0;Automatico;AWD Tracción integral;31;21;49900
163;BMW;3 Series;2017;320.0;6.0;Automatico;Traccion Trasera;32;21;47900
164;BMW;3 Series;2017;180.0;4.0;Automatico;AWD Tracción integral;40;30;44450
194;Mitsubishi;3000GT;1997;218.0;6.0;Manual;Tracción Delantera;23;17;3941
195;Mitsubishi;3000GT;1997;161.0;6.0;Manual;Tracción Delantera;22;17;3295
196;Mitsubishi;3000GT;1997;320.0;6.0;Manual;AWD Tracción integral;22;16;6008
197;Mitsubishi;3000GT;1998;320.0;6.0;Manual;AWD Tracción integral;22;16;6710
198;Mitsubishi;3000GT;1998;161.0;6.0;Manual;Tracción Delantera;22;17;3701
199;Mitsubishi;3000GT;1998;218.0;6.0;Manual;Tracción Delantera;23;17;4671
200;Mitsubishi;3000GT;1999;218.0;6.0;Manual;Tracción Delantera;23;17;5306
201;Mitsubishi;3000GT;1999;320.0;6.0;Manual;AWD Tracción integral;22;16;7600
202;Mitsubishi;3000GT;1999;161.0;6.0;Manual;Tracción Delantera;22;17;4090
203;Chrysler;300;2015;300.0;6.0;Automatico;AWD Tracción integral;27;18;37570
204;Chrysler;300;2015;292.0;6.0;Automatico;Traccion Trasera;31;19;31695
205;Chrysler;300;2015;292.0;6.0;Automatico;Traccion Trasera;31;19;38070
206;Chrysler;300;2015;292.0;6.0;Automatico;AWD Tracción integral;27;18;44895
207;Chrysler;300;2015;300.0;6.0;Automatico;Traccion Trasera;31;19;35070
208;Chrysler;300;2015;292.0;6.0;Automatico;Traccion Trasera;31;19;42395
209;Chrysler;300;2015;292.0;6.0;Automatico;AWD Tracción integral;27;18;34195
210;Chrysler;300;2015;292.0;6.0;Automatico;AWD Tracción integral;27;18;40570
211;Chrysler;300;2016;300.0;6.0;Automatico;AWD Tracción integral;27;18;38095
212;Chrysler;300;2016;300.0;6.0;Automatico;Traccion Trasera;31;19;35595
213;Chrysler;300;2016;292.0;6.0;Automatico;AWD Tracción integral;27;18;45190
214;Chrysler;300;2016;292.0;6.0;Automatico;Traccion Trasera;31;19;32260
215;Chrysler;300;2016;292.0;6.0;Automatico;AWD Tracción integral;27;18;37755
216;Chrysler;300;2016;292.0;6.0;Automatico;AWD Tracción integral;27;18;41055
217;Chrysler;300;2016;300.0;6.0;Automatico;Traccion Trasera;31;19;36090
218;Chrysler;300;2016;292.0;6.0;Automatico;Traccion Trasera;31;19;42690
219;Chrysler;300;2016;292.0;6.0;Automatico;Traccion Trasera;31;19;38555
220;Chrysler;300;2016;292.0;6.0;Automatico;Traccion Trasera;31;19;35255
221;Chrysler;300;2016;300.0;6.0;Automatico;AWD Tracción integral;27;18;38590
222;Chrysler;300;2016;292.0;6.0;Automatico;AWD Tracción integral;27;18;34760
223;Chrysler;300;2017;292.0;6.0;Automatico;AWD Tracción integral;27;18;41135
224;Chrysler;300;2017;292.0;6.0;Automatico;AWD Tracción integral;27;18;45270
225;Chrysler;300;2017;300.0;6.0;Automatico;AWD Tracción integral;27;18;38670
226;Chrysler;300;2017;292.0;6.0;Automatico;Traccion Trasera;30;19;38635
227;Chrysler;300;2017;300.0;6.0;Automatico;Traccion Trasera;30;19;36170
228;Chrysler;300;2017;300.0;6.0;Automatico;AWD Tracción integral;27;18;38175
229;Chrysler;300;2017;292.0;6.0;Automatico;Traccion Trasera;30;19;32340
230;Chrysler;300;2017;292.0;6.0;Automatico;Traccion Trasera;30;19;42770
231;Chrysler;300;2017;292.0;6.0;Automatico;AWD Tracción integral;27;18;34840
232;Chrysler;300;2017;300.0;6.0;Automatico;Traccion Trasera;30;19;35675
233;Chrysler;300M;2002;250.0;6.0;Automatico;Tracción Delantera;24;16;32065
234;Chrysler;300M;2002;250.0;6.0;Automatico;Tracción Delantera;24;16;28540
235;Chrysler;300M;2003;255.0;6.0;Automatico;Tracción Delantera;25;16;32315
236;Chrysler;300M;2003;250.0;6.0;Automatico;Tracción Delantera;25;16;28885
237;Chrysler;300M;2004;250.0;6.0;Automatico;Tracción Delantera;25;16;29185
238;Chrysler;300M;2004;255.0;6.0;Automatico;Tracción Delantera;25;16;32615
239;Nissan;300ZX;1994;222.0;6.0;Manual;Traccion Trasera;22;16;2847
240;Nissan;300ZX;1994;222.0;6.0;Manual;Traccion Trasera;22;16;2488
241;Nissan;300ZX;1994;300.0;6.0;Manual;Traccion Trasera;22;16;2683
242;Nissan;300ZX;1994;222.0;6.0;Manual;Traccion Trasera;22;16;2553
243;Nissan;300ZX;1995;300.0;6.0;Manual;Traccion Trasera;22;16;3049
244;Nissan;300ZX;1995;222.0;6.0;Manual;Traccion Trasera;22;17;2774
245;Nissan;300ZX;1995;222.0;6.0;Manual;Traccion Trasera;22;17;2702
246;Nissan;300ZX;1995;222.0;6.0;Manual;Traccion Trasera;22;17;3101
247;Nissan;300ZX;1996;300.0;6.0;Manual;Traccion Trasera;22;16;3510
248;Nissan;300ZX;1996;222.0;6.0;Manual;Traccion Trasera;22;17;3107
249;Nissan;300ZX;1996;222.0;6.0;Manual;Traccion Trasera;22;17;3624
250;Nissan;300ZX;1996;222.0;6.0;Manual;Traccion Trasera;22;17;3185
255;Mazda;323;1994;82.0;4.0;Manual;Tracción Delantera;33;25;2000
260;Nissan;350Z;2007;306.0;6.0;Automatico;Traccion Trasera;23;17;36550
261;Nissan;350Z;2007;306.0;6.0;Automatico;Traccion Trasera;23;17;41250
262;Nissan;350Z;2007;306.0;6.0;Automatico;Traccion Trasera;24;17;30600
263;Nissan;350Z;2007;306.0;6.0;Automatico;Traccion Trasera;24;17;37100
264;Nissan;350Z;2007;306.0;6.0;Manual;Traccion Trasera;25;18;27900
265;Nissan;350Z;2007;306.0;6.0;Manual;Traccion Trasera;25;18;32700
266;Nissan;350Z;2007;306.0;6.0;Manual;Traccion Trasera;24;17;40250
267;Nissan;350Z;2007;306.0;6.0;Manual;Traccion Trasera;24;17;35550
268;Nissan;350Z;2007;306.0;6.0;Manual;Traccion Trasera;25;18;36100
269;Nissan;350Z;2007;306.0;6.0;Automatico;Traccion Trasera;24;17;33200
270;Nissan;350Z;2007;306.0;6.0;Manual;Traccion Trasera;24;17;37900
271;Nissan;350Z;2007;306.0;6.0;Manual;Traccion Trasera;25;18;29600
272;Nissan;350Z;2007;306.0;6.0;Manual;Traccion Trasera;25;18;38070
273;Nissan;350Z;2007;306.0;6.0;Automatico;Traccion Trasera;23;17;38900
274;Nissan;350Z;2008;306.0;6.0;Automatico;Traccion Trasera;24;17;33840
275;Nissan;350Z;2008;306.0;6.0;Manual;Traccion Trasera;24;17;38630
276;Nissan;350Z;2008;306.0;6.0;Automatico;Traccion Trasera;23;17;39630
277;Nissan;350Z;2008;306.0;6.0;Automatico;Traccion Trasera;24;17;37740
278;Nissan;350Z;2008;306.0;6.0;Automatico;Traccion Trasera;23;17;41980
279;Nissan;350Z;2008;306.0;6.0;Manual;Traccion Trasera;24;17;36280
280;Nissan;350Z;2008;306.0;6.0;Manual;Traccion Trasera;25;18;36740
281;Nissan;350Z;2008;306.0;6.0;Manual;Traccion Trasera;24;17;40980
282;Nissan;350Z;2008;306.0;6.0;Manual;Traccion Trasera;25;18;38680
283;Nissan;350Z;2008;306.0;6.0;Manual;Traccion Trasera;25;18;28510
284;Nissan;350Z;2008;306.0;6.0;Manual;Traccion Trasera;25;18;30210
285;Nissan;350Z;2008;306.0;6.0;Automatico;Traccion Trasera;24;17;31210
286;Nissan;350Z;2008;306.0;6.0;Manual;Traccion Trasera;25;18;33340
287;Nissan;350Z;2008;306.0;6.0;Automatico;Traccion Trasera;23;17;37280
288;Nissan;350Z;2009;306.0;6.0;Manual;Traccion Trasera;24;17;41570
289;Nissan;350Z;2009;306.0;6.0;Manual;Traccion Trasera;24;17;36870
290;Nissan;350Z;2009;306.0;6.0;Automatico;Traccion Trasera;23;17;42570
291;Nissan;350Z;2009;306.0;6.0;Automatico;Traccion Trasera;23;17;37870
292;Nissan;350Z;2009;306.0;6.0;Manual;Traccion Trasera;24;17;39220
293;Nissan;350Z;2009;306.0;6.0;Automatico;Traccion Trasera;23;17;40220
307;Nissan;370Z;2015;350.0;6.0;Automatico;Traccion Trasera;26;19;46790
308;Nissan;370Z;2015;332.0;6.0;Manual;Traccion Trasera;24;17;48100
309;Nissan;370Z;2015;332.0;6.0;Manual;Traccion Trasera;26;18;29990
310;Nissan;370Z;2015;332.0;6.0;Automatico;Traccion Trasera;25;18;41820
311;Nissan;370Z;2015;332.0;6.0;Automatico;Traccion Trasera;26;19;31290
312;Nissan;370Z;2015;332.0;6.0;Automatico;Traccion Trasera;26;19;34870
313;Nissan;370Z;2015;332.0;6.0;Manual;Traccion Trasera;26;18;33570
314;Nissan;370Z;2015;332.0;6.0;Automatico;Traccion Trasera;25;18;46570
315;Nissan;370Z;2015;332.0;6.0;Manual;Traccion Trasera;26;18;37970
316;Nissan;370Z;2015;332.0;6.0;Manual;Traccion Trasera;26;18;37070
317;Nissan;370Z;2015;332.0;6.0;Automatico;Traccion Trasera;25;18;49400
318;Nissan;370Z;2015;332.0;6.0;Manual;Traccion Trasera;24;17;45270
319;Nissan;370Z;2015;332.0;6.0;Automatico;Traccion Trasera;26;19;39270
320;Nissan;370Z;2015;350.0;6.0;Manual;Traccion Trasera;26;18;45490
321;Nissan;370Z;2015;350.0;6.0;Manual;Traccion Trasera;26;18;41990
322;Nissan;370Z;2015;332.0;6.0;Automatico;Traccion Trasera;26;19;38370
323;Nissan;370Z;2015;350.0;6.0;Automatico;Traccion Trasera;26;19;43290
324;Nissan;370Z;2016;332.0;6.0;Automatico;Traccion Trasera;25;18;41820
325;Nissan;370Z;2016;332.0;6.0;Manual;Traccion Trasera;24;17;48100
326;Nissan;370Z;2016;350.0;6.0;Automatico;Traccion Trasera;26;19;43290
327;Nissan;370Z;2016;332.0;6.0;Automatico;Traccion Trasera;26;19;39270
328;Nissan;370Z;2016;332.0;6.0;Automatico;Traccion Trasera;26;19;34870
329;Nissan;370Z;2016;350.0;6.0;Manual;Traccion Trasera;26;18;41990
330;Nissan;370Z;2016;332.0;6.0;Automatico;Traccion Trasera;26;19;38370
331;Nissan;370Z;2016;332.0;6.0;Manual;Traccion Trasera;24;17;45270
332;Nissan;370Z;2016;350.0;6.0;Manual;Traccion Trasera;26;18;45490
333;Nissan;370Z;2016;332.0;6.0;Manual;Traccion Trasera;26;18;29990
334;Nissan;370Z;2016;332.0;6.0;Automatico;Traccion Trasera;25;18;46570
335;Nissan;370Z;2016;350.0;6.0;Automatico;Traccion Trasera;26;19;46790
336;Nissan;370Z;2016;332.0;6.0;Automatico;Traccion Trasera;25;18;49400
337;Nissan;370Z;2016;332.0;6.0;Manual;Traccion Trasera;26;18;37070
338;Nissan;370Z;2016;332.0;6.0;Automatico;Traccion Trasera;26;19;31290
339;Nissan;370Z;2016;332.0;6.0;Manual;Traccion Trasera;26;18;37970
340;Nissan;370Z;2016;332.0;6.0;Manual;Traccion Trasera;26;18;33570
341;Nissan;370Z;2017;332.0;6.0;Manual;Traccion Trasera;26;18;37970
342;Nissan;370Z;2017;332.0;6.0;Automatico;Traccion Trasera;26;19;38370
343;Nissan;370Z;2017;332.0;6.0;Automatico;Traccion Trasera;26;19;34870
344;Nissan;370Z;2017;332.0;6.0;Manual;Traccion Trasera;26;18;29990
345;Nissan;370Z;2017;350.0;6.0;Manual;Traccion Trasera;26;18;45490
346;Nissan;370Z;2017;350.0;6.0;Manual;Traccion Trasera;26;18;41990
347;Nissan;370Z;2017;332.0;6.0;Manual;Traccion Trasera;24;17;45270
348;Nissan;370Z;2017;332.0;6.0;Manual;Traccion Trasera;26;18;33570
349;Nissan;370Z;2017;332.0;6.0;Manual;Traccion Trasera;24;17;48100
350;Nissan;370Z;2017;332.0;6.0;Automatico;Traccion Trasera;26;19;39270
351;Nissan;370Z;2017;332.0;6.0;Automatico;Traccion Trasera;25;18;46570
352;Nissan;370Z;2017;332.0;6.0;Automatico;Traccion Trasera;25;18;49400
353;Nissan;370Z;2017;332.0;6.0;Manual;Traccion Trasera;26;18;37070
354;Nissan;370Z;2017;332.0;6.0;Automatico;Traccion Trasera;25;18;41820
355;Nissan;370Z;2017;350.0;6.0;Automatico;Traccion Trasera;26;19;46790
356;Nissan;370Z;2017;350.0;6.0;Automatico;Traccion Trasera;26;19;43290
357;Nissan;370Z;2017;332.0;6.0;Automatico;Traccion Trasera;26;19;31290
358;Mazda;3;2015;184.0;4.0;Manual;Tracción Delantera;37;25;25045
359;Mazda;3;2015;184.0;4.0;Automatico;Tracción Delantera;39;28;26095
360;Mazda;3;2015;155.0;4.0;Automatico;Tracción Delantera;41;30;23795
361;Mazda;3;2015;155.0;4.0;Manual;Tracción Delantera;41;29;19595
362;Mazda;3;2015;155.0;4.0;Manual;Tracción Delantera;41;29;18445
363;Mazda;3;2015;184.0;4.0;Manual;Tracción Delantera;37;25;23845
364;Mazda;3;2015;184.0;4.0;Automatico;Tracción Delantera;37;27;25395
365;Mazda;3;2015;184.0;4.0;Automatico;Tracción Delantera;39;28;24895
366;Mazda;3;2015;184.0;4.0;Manual;Tracción Delantera;35;26;25545
367;Mazda;3;2015;155.0;4.0;Automatico;Tracción Delantera;40;30;24295
368;Mazda;3;2015;155.0;4.0;Automatico;Tracción Delantera;41;30;19495
369;Mazda;3;2015;155.0;4.0;Manual;Tracción Delantera;40;29;20095
370;Mazda;3;2015;155.0;4.0;Automatico;Tracción Delantera;40;30;19995
371;Mazda;3;2015;155.0;4.0;Automatico;Tracción Delantera;40;30;21145
372;Mazda;3;2015;155.0;4.0;Manual;Tracción Delantera;40;29;23245
373;Mazda;3;2015;155.0;4.0;Manual;Tracción Delantera;41;29;16945
374;Mazda;3;2015;184.0;4.0;Manual;Tracción Delantera;35;26;24345
375;Mazda;3;2015;155.0;4.0;Automatico;Tracción Delantera;41;30;20645
376;Mazda;3;2015;155.0;4.0;Manual;Tracción Delantera;40;29;18945
377;Mazda;3;2015;184.0;4.0;Automatico;Tracción Delantera;37;27;26595
378;Mazda;3;2015;155.0;4.0;Manual;Tracción Delantera;41;29;22745
379;Mazda;3;2015;155.0;4.0;Automatico;Tracción Delantera;41;30;17995
380;Mazda;3;2016;155.0;4.0;Manual;Tracción Delantera;41;29;22545
381;Mazda;3;2016;155.0;4.0;Automatico;Tracción Delantera;41;30;21095
382;Mazda;3;2016;184.0;4.0;Automatico;Tracción Delantera;37;27;25495
383;Mazda;3;2016;155.0;4.0;Manual;Tracción Delantera;40;29;20745
384;Mazda;3;2016;155.0;4.0;Automatico;Tracción Delantera;40;30;24295
385;Mazda;3;2016;155.0;4.0;Automatico;Tracción Delantera;41;30;23595
386;Mazda;3;2016;155.0;4.0;Automatico;Tracción Delantera;40;30;21795
387;Mazda;3;2016;155.0;4.0;Manual;Tracción Delantera;41;29;17845
388;Mazda;3;2016;184.0;4.0;Automatico;Tracción Delantera;37;27;26495
389;Mazda;3;2016;184.0;4.0;Manual;Tracción Delantera;37;25;24745
390;Mazda;3;2016;155.0;4.0;Automatico;Tracción Delantera;41;30;18895
391;Mazda;3;2016;155.0;4.0;Automatico;Tracción Delantera;40;30;19595
392;Mazda;3;2016;155.0;4.0;Manual;Tracción Delantera;40;29;23245
393;Mazda;3;2016;155.0;4.0;Manual;Tracción Delantera;40;29;18545
394;Mazda;3;2016;184.0;4.0;Automatico;Tracción Delantera;39;28;25795
395;Mazda;3;2016;155.0;4.0;Manual;Tracción Delantera;41;29;20045
396;Mazda;3;2016;184.0;4.0;Manual;Tracción Delantera;35;26;25445
397;Mazda;3;2016;184.0;4.0;Automatico;Tracción Delantera;39;28;24795
398;Mazda;3;2017;155.0;4.0;Automatico;Tracción Delantera;37;28;21495
399;Mazda;3;2017;155.0;4.0;Manual;Tracción Delantera;37;27;17845
400;Mazda;3;2017;184.0;4.0;Manual;Tracción Delantera;34;25;23145
401;Mazda;3;2017;184.0;4.0;Automatico;Tracción Delantera;36;27;24195
402;Mazda;3;2017;155.0;4.0;Automatico;Tracción Delantera;37;28;20145
403;Mazda;3;2017;184.0;4.0;Automatico;Tracción Delantera;35;26;24945
404;Mazda;3;2017;184.0;4.0;Manual;Tracción Delantera;33;25;23895
405;Mazda;3;2017;155.0;4.0;Manual;Tracción Delantera;37;27;19095
406;Mazda;3;2017;184.0;4.0;Automatico;Tracción Delantera;35;26;23445
407;Mazda;3;2017;155.0;4.0;Automatico;Tracción Delantera;37;28;18895
408;Mazda;3;2017;155.0;4.0;Automatico;Tracción Delantera;37;28;22245
409;Mazda;3;2017;184.0;4.0;Manual;Tracción Delantera;33;25;22395
410;Mazda;3;2017;155.0;4.0;Manual;Tracción Delantera;37;27;20445
411;BMW;4 Series Gran Coupe;2015;240.0;4.0;Automatico;AWD Tracción integral;33;22;42300
412;BMW;4 Series Gran Coupe;2015;240.0;4.0;Automatico;Traccion Trasera;34;23;40300
415;BMW;4 Series Gran Coupe;2015;300.0;6.0;Automatico;Traccion Trasera;32;21;45800
416;BMW;4 Series Gran Coupe;2015;300.0;6.0;Automatico;AWD Tracción integral;31;20;47800
417;BMW;4 Series Gran Coupe;2016;240.0;4.0;Automatico;AWD Tracción integral;34;22;43650
418;BMW;4 Series Gran Coupe;2016;300.0;6.0;Automatico;AWD Tracción integral;30;20;49950
419;BMW;4 Series Gran Coupe;2016;300.0;6.0;Automatico;Traccion Trasera;31;20;47950
